country,industry_share_2000,industry_share_2025,manufacturing_share_2000,manufacturing_share_2025,industry_cagr,manufacturing_cagr,gdp_cagr
Australia,0.2356,0.2035,0.0907,0.0505,0.0211,0.0026,0.0274
Belgium,0.2154,0.1769,0.1442,0.1123,0.0074,0.0052,0.0157
Brazil,0.2223,0.1772,0.1365,0.0928,0.013,0.0063,0.0226
Canada,0.2725,0.2249,0.1491,0.0865,0.011,-0.0037,0.0191
China,0.3646,0.3771,,0.1732,0.0829,,0.0814
Denmark,0.2503,0.2546,0.133,0.2072,0.0142,0.0324,0.0135
Finland,0.2559,0.2176,0.1672,0.1404,0.0041,0.0036,0.0109
France,0.1983,0.1581,0.1134,0.0988,0.0028,0.0066,0.0124
Germany,0.2717,0.2325,0.1869,0.1933,0.0036,0.0116,0.0101
Italy,0.2384,0.2157,0.1555,0.1401,-0.0004,-0.0005,0.0038
Japan,0.3114,0.3019,0.1961,0.2185,0.0047,0.0106,0.006
Mexico,0.3403,0.2902,0.2212,0.2004,0.0083,0.0108,0.015
Netherlands,0.1994,0.1755,0.1039,0.1112,0.0094,0.0177,0.0148
South Africa,0.2826,0.1998,0.147,0.1122,0.0064,0.0097,0.0211
Turkey,0.2428,0.2513,0.1541,0.1634,0.0509,0.052,0.0494
United Kingdom,0.227,0.164,0.0906,0.0927,0.0015,0.0161,0.0152
United States,,0.1499,,0.0941,,,0.0212
